date,series,value,source,retrieved_at
2025-11-01,Bienes y servicios varios,9621.3785,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-12-01,Bienes y servicios varios,9875.41,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2026-01-01,Bienes y servicios varios,10144.8418,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2026-02-01,Bienes y servicios varios,10476.9884,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2026-03-01,Bienes y servicios varios,10653.9253,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2026-04-01,Bienes y servicios varios,10914.151,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2026-05-01,Bienes y servicios varios,11171.6219,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-01-01,Comunicación,536.1267,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-02-01,Comunicación,544.0338,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-03-01,Comunicación,562.7616,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-04-01,Comunicación,583.3455,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-05-01,Comunicación,601.2442,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-06-01,Comunicación,603.5522,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-07-01,Comunicación,636.8292,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-08-01,Comunicación,662.6492,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-09-01,Comunicación,678.9797,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-10-01,Comunicación,761.29,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-11-01,Comunicación,809.6802,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-12-01,Comunicación,837.1999,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-01-01,Comunicación,903.9001,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
